,SCHOOL_YEAR,DIV_NAME,SCH_NAME,GENDER,FEDERAL_RACE_CODE,DISABILITY_FLAG,DISADVANTAGED_FLAG,LEP_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
2556,2010-2011,Accomack County,Arcadia High,F,3.0,N,N,N,10,80.0,10.0
2558,2010-2011,Accomack County,Arcadia High,F,3.0,N,Y,N,18,88.88888888888889,5.555555555555555
2572,2010-2011,Accomack County,Arcadia High,F,5.0,N,N,N,18,83.33333333333333,5.555555555555555
2574,2010-2011,Accomack County,Arcadia High,F,5.0,N,Y,N,7,100.0,0.0
2576,2010-2011,Accomack County,Arcadia High,F,5.0,Y,N,N,2,50.0,0.0
2578,2010-2011,Accomack County,Arcadia High,F,5.0,Y,Y,N,2,50.0,0.0
2620,2010-2011,Accomack County,Arcadia High,M,3.0,N,N,N,11,81.81818181818181,18.181818181818183
2622,2010-2011,Accomack County,Arcadia High,M,3.0,N,Y,N,20,75.0,10.0
2626,2010-2011,Accomack County,Arcadia High,M,3.0,Y,Y,N,5,80.0,20.0
2636,2010-2011,Accomack County,Arcadia High,M,5.0,N,N,N,16,81.25,12.5
2638,2010-2011,Accomack County,Arcadia High,M,5.0,N,Y,N,4,100.0,0.0
2640,2010-2011,Accomack County,Arcadia High,M,5.0,Y,N,N,4,50.0,0.0
2642,2010-2011,Accomack County,Arcadia High,M,5.0,Y,Y,N,3,66.66666666666667,33.333333333333336
2686,2010-2011,Accomack County,Chincoteague High,F,3.0,N,Y,N,3,33.333333333333336,33.333333333333336
2700,2010-2011,Accomack County,Chincoteague High,F,5.0,N,N,N,11,100.0,0.0
2702,2010-2011,Accomack County,Chincoteague High,F,5.0,N,Y,N,5,80.0,0.0
2704,2010-2011,Accomack County,Chincoteague High,F,5.0,Y,N,N,1,0.0,100.0
2750,2010-2011,Accomack County,Chincoteague High,M,3.0,N,Y,N,4,75.0,0.0
2764,2010-2011,Accomack County,Chincoteague High,M,5.0,N,N,N,15,80.0,20.0
2766,2010-2011,Accomack County,Chincoteague High,M,5.0,N,Y,N,7,85.71428571428571,14.285714285714286
2768,2010-2011,Accomack County,Chincoteague High,M,5.0,Y,N,N,3,100.0,0.0
2770,2010-2011,Accomack County,Chincoteague High,M,5.0,Y,Y,N,1,100.0,0.0
2812,2010-2011,Accomack County,Nandua High,F,3.0,N,N,N,5,40.0,60.0
2814,2010-2011,Accomack County,Nandua High,F,3.0,N,Y,N,41,90.2439024390244,7.317073170731708
2816,2010-2011,Accomack County,Nandua High,F,3.0,Y,N,N,1,100.0,0.0
2818,2010-2011,Accomack County,Nandua High,F,3.0,Y,Y,N,5,100.0,0.0
2828,2010-2011,Accomack County,Nandua High,F,5.0,N,N,N,17,76.47058823529412,5.882352941176471
2830,2010-2011,Accomack County,Nandua High,F,5.0,N,Y,N,12,83.33333333333333,0.0
2832,2010-2011,Accomack County,Nandua High,F,5.0,Y,N,N,3,66.66666666666667,33.333333333333336
2834,2010-2011,Accomack County,Nandua High,F,5.0,Y,Y,N,1,0.0,0.0
2876,2010-2011,Accomack County,Nandua High,M,3.0,N,N,N,8,50.0,50.0
2878,2010-2011,Accomack County,Nandua High,M,3.0,N,Y,N,28,78.57142857142857,10.714285714285714
2882,2010-2011,Accomack County,Nandua High,M,3.0,Y,Y,N,8,12.5,75.0
2892,2010-2011,Accomack County,Nandua High,M,5.0,N,N,N,33,84.84848484848484,9.090909090909092
2894,2010-2011,Accomack County,Nandua High,M,5.0,N,Y,N,11,81.81818181818181,0.0
2896,2010-2011,Accomack County,Nandua High,M,5.0,Y,N,N,1,100.0,0.0
2898,2010-2011,Accomack County,Nandua High,M,5.0,Y,Y,N,5,40.0,20.0
3149,2010-2011,Albemarle County,Albemarle High,F,2.0,N,N,N,8,100.0,0.0
3150,2010-2011,Albemarle County,Albemarle High,F,2.0,N,N,Y,2,100.0,0.0
3151,2010-2011,Albemarle County,Albemarle High,F,2.0,N,Y,N,1,100.0,0.0
3157,2010-2011,Albemarle County,Albemarle High,F,3.0,N,N,N,10,100.0,0.0
3159,2010-2011,Albemarle County,Albemarle High,F,3.0,N,Y,N,11,72.72727272727273,18.181818181818183
3173,2010-2011,Albemarle County,Albemarle High,F,5.0,N,N,N,135,95.55555555555556,2.2222222222222223
3174,2010-2011,Albemarle County,Albemarle High,F,5.0,N,N,Y,1,0.0,100.0
3175,2010-2011,Albemarle County,Albemarle High,F,5.0,N,Y,N,9,100.0,0.0
3177,2010-2011,Albemarle County,Albemarle High,F,5.0,Y,N,N,8,100.0,0.0
3179,2010-2011,Albemarle County,Albemarle High,F,5.0,Y,Y,N,3,100.0,0.0
3213,2010-2011,Albemarle County,Albemarle High,M,2.0,N,N,N,11,100.0,0.0
3214,2010-2011,Albemarle County,Albemarle High,M,2.0,N,N,Y,3,100.0,0.0
3216,2010-2011,Albemarle County,Albemarle High,M,2.0,N,Y,Y,1,0.0,0.0
3221,2010-2011,Albemarle County,Albemarle High,M,3.0,N,N,N,19,73.6842105263158,21.05263157894737
3223,2010-2011,Albemarle County,Albemarle High,M,3.0,N,Y,N,14,78.57142857142857,14.285714285714286
3224,2010-2011,Albemarle County,Albemarle High,M,3.0,N,Y,Y,2,100.0,0.0
3225,2010-2011,Albemarle County,Albemarle High,M,3.0,Y,N,N,1,100.0,0.0
3227,2010-2011,Albemarle County,Albemarle High,M,3.0,Y,Y,N,6,100.0,0.0
3237,2010-2011,Albemarle County,Albemarle High,M,5.0,N,N,N,129,96.89922480620154,2.3255813953488373
3239,2010-2011,Albemarle County,Albemarle High,M,5.0,N,Y,N,10,90.0,0.0
3241,2010-2011,Albemarle County,Albemarle High,M,5.0,Y,N,N,17,94.11764705882354,5.882352941176471
3243,2010-2011,Albemarle County,Albemarle High,M,5.0,Y,Y,N,7,85.71428571428571,14.285714285714286
3285,2010-2011,Albemarle County,Monticello High,F,3.0,N,N,N,11,100.0,0.0
3287,2010-2011,Albemarle County,Monticello High,F,3.0,N,Y,N,12,91.66666666666667,0.0
3301,2010-2011,Albemarle County,Monticello High,F,5.0,N,N,N,83,93.97590361445783,2.4096385542168677
3303,2010-2011,Albemarle County,Monticello High,F,5.0,N,Y,N,14,92.85714285714286,0.0
3305,2010-2011,Albemarle County,Monticello High,F,5.0,Y,N,N,11,90.9090909090909,9.090909090909092
3307,2010-2011,Albemarle County,Monticello High,F,5.0,Y,Y,N,2,100.0,0.0
3349,2010-2011,Albemarle County,Monticello High,M,3.0,N,N,N,9,100.0,0.0
3350,2010-2011,Albemarle County,Monticello High,M,3.0,N,N,Y,1,0.0,100.0
3351,2010-2011,Albemarle County,Monticello High,M,3.0,N,Y,N,6,83.33333333333333,0.0
3353,2010-2011,Albemarle County,Monticello High,M,3.0,Y,N,N,1,100.0,0.0
3355,2010-2011,Albemarle County,Monticello High,M,3.0,Y,Y,N,6,100.0,0.0
3365,2010-2011,Albemarle County,Monticello High,M,5.0,N,N,N,60,91.66666666666667,6.666666666666667
3367,2010-2011,Albemarle County,Monticello High,M,5.0,N,Y,N,19,78.94736842105263,0.0
3369,2010-2011,Albemarle County,Monticello High,M,5.0,Y,N,N,13,100.0,0.0
3371,2010-2011,Albemarle County,Monticello High,M,5.0,Y,Y,N,11,90.9090909090909,9.090909090909092
3429,2010-2011,Albemarle County,Murray High,F,5.0,N,N,N,7,57.142857142857146,28.571428571428573
3431,2010-2011,Albemarle County,Murray High,F,5.0,N,Y,N,2,0.0,0.0
3433,2010-2011,Albemarle County,Murray High,F,5.0,Y,N,N,1,100.0,0.0
3493,2010-2011,Albemarle County,Murray High,M,5.0,N,N,N,10,40.0,20.0
3495,2010-2011,Albemarle County,Murray High,M,5.0,N,Y,N,1,0.0,0.0
3497,2010-2011,Albemarle County,Murray High,M,5.0,Y,N,N,3,100.0,0.0
3557,2010-2011,Albemarle County,Western Albemarle High,F,5.0,N,N,N,99,100.0,0.0
3559,2010-2011,Albemarle County,Western Albemarle High,F,5.0,N,Y,N,8,75.0,12.5
3561,2010-2011,Albemarle County,Western Albemarle High,F,5.0,Y,N,N,7,100.0,0.0
3621,2010-2011,Albemarle County,Western Albemarle High,M,5.0,N,N,N,79,97.46835443037975,0.0
