,SCHOOL_YEAR,DIV_NAME,SCH_NAME,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
2288,2015-2016,Accomack County,Arcadia High,3.0,F,N,N,N,3,100.0,0.0
2289,2015-2016,Accomack County,Arcadia High,3.0,F,N,N,Y,17,94.11764705882354,0.0
2291,2015-2016,Accomack County,Arcadia High,3.0,F,N,Y,Y,1,100.0,0.0
2293,2015-2016,Accomack County,Arcadia High,3.0,F,Y,N,Y,4,50.0,0.0
2296,2015-2016,Accomack County,Arcadia High,3.0,M,N,N,N,9,100.0,0.0
2297,2015-2016,Accomack County,Arcadia High,3.0,M,N,N,Y,21,95.23809523809524,4.761904761904762
2300,2015-2016,Accomack County,Arcadia High,3.0,M,Y,N,N,1,100.0,0.0
2301,2015-2016,Accomack County,Arcadia High,3.0,M,Y,N,Y,4,100.0,0.0
2305,2015-2016,Accomack County,Arcadia High,4.0,F,N,N,Y,6,83.33333333333333,16.666666666666668
2306,2015-2016,Accomack County,Arcadia High,4.0,F,N,Y,N,1,100.0,0.0
2313,2015-2016,Accomack County,Arcadia High,4.0,M,N,N,Y,10,90.0,0.0
2315,2015-2016,Accomack County,Arcadia High,4.0,M,N,Y,Y,2,100.0,0.0
2320,2015-2016,Accomack County,Arcadia High,5.0,F,N,N,N,20,95.0,0.0
2321,2015-2016,Accomack County,Arcadia High,5.0,F,N,N,Y,11,81.81818181818181,18.181818181818183
2324,2015-2016,Accomack County,Arcadia High,5.0,F,Y,N,N,1,100.0,0.0
2325,2015-2016,Accomack County,Arcadia High,5.0,F,Y,N,Y,5,60.0,20.0
2328,2015-2016,Accomack County,Arcadia High,5.0,M,N,N,N,23,91.30434782608695,0.0
2329,2015-2016,Accomack County,Arcadia High,5.0,M,N,N,Y,7,57.142857142857146,28.571428571428573
2332,2015-2016,Accomack County,Arcadia High,5.0,M,Y,N,N,3,66.66666666666667,0.0
2333,2015-2016,Accomack County,Arcadia High,5.0,M,Y,N,Y,5,80.0,0.0
2401,2015-2016,Accomack County,Chincoteague High,3.0,F,N,N,Y,1,100.0,0.0
2409,2015-2016,Accomack County,Chincoteague High,3.0,M,N,N,Y,4,100.0,0.0
2432,2015-2016,Accomack County,Chincoteague High,5.0,F,N,N,N,7,100.0,0.0
2433,2015-2016,Accomack County,Chincoteague High,5.0,F,N,N,Y,7,100.0,0.0
2440,2015-2016,Accomack County,Chincoteague High,5.0,M,N,N,N,17,94.11764705882354,5.882352941176471
