# seed  cv_score  training_mse  validation_mse  training_time(s)
3.471000000000000000e+03 1.897064457413006888e+00 1.630761870972440519e+00 2.093684037315421076e+00 2.266359329223632812e+00
5.969000000000000000e+03 1.961209787872843391e+00 1.676881564355687360e+00 2.089664666018095751e+00 3.886984109878540039e+00
4.276000000000000000e+03 1.987650651524351275e+00 1.713218085375373345e+00 2.131456989022413318e+00 2.676015615463256836e+00
9.201000000000000000e+03 1.996860670731803067e+00 1.705332226495500647e+00 2.309816770862025859e+00 1.667955875396728516e+00
2.458000000000000000e+03 2.010024288662211056e+00 1.791863691670896541e+00 2.286214444015178149e+00 1.667967081069946289e+00
6.689000000000000000e+03 2.071241214280859388e+00 1.824891142547390821e+00 2.540436016094782090e+00 2.167367219924926758e+00
6.976000000000000000e+03 2.113831910037755168e+00 1.910018980275084877e+00 2.406341554116297576e+00 3.370261669158935547e+00
9.654000000000000000e+03 2.124671355183152421e+00 1.923804376638965641e+00 2.512162948836760723e+00 2.457191467285156250e+00
6.280000000000000000e+02 2.144676011816377681e+00 1.946541660194757606e+00 2.333781934637679800e+00 2.571254730224609375e+00
7.120000000000000000e+02 2.168445031778401866e+00 1.974854668053777740e+00 2.626640346894500322e+00 1.428319931030273438e+00
6.287000000000000000e+03 2.198172513688465113e+00 2.014172754357082873e+00 2.610344451704539104e+00 1.167706727981567383e+00
4.639000000000000000e+03 2.203241742865537756e+00 2.048499525958895173e+00 2.557257747156031158e+00 2.969517469406127930e+00
3.752000000000000000e+03 2.209788046881150159e+00 2.047912577314803695e+00 2.573620077673593354e+00 1.444570064544677734e+00
5.235000000000000000e+03 2.234911342950967938e+00 2.062801867306494508e+00 2.618455471749447483e+00 2.580707550048828125e+00
9.488000000000000000e+03 2.235887226067818201e+00 2.061139797368843674e+00 2.785898208032300261e+00 2.079924821853637695e+00
4.395000000000000000e+03 2.236460304851642711e+00 2.060751292502570386e+00 2.648275460379920787e+00 7.466564178466796875e-01
4.038000000000000000e+03 2.247084169017193211e+00 2.084013264657582631e+00 2.610681187179110907e+00 2.854852199554443359e+00
7.600000000000000000e+03 2.255724846650360327e+00 2.050887999382407845e+00 2.705112065026119339e+00 7.364220619201660156e-01
2.906000000000000000e+03 2.261316386989897786e+00 2.111381157442888679e+00 2.752452643645705965e+00 2.083389997482299805e+00
8.516000000000000000e+03 2.262630430718982844e+00 2.112942139422639087e+00 2.587681127507385437e+00 5.228400230407714844e-01
1.331000000000000000e+03 2.263016893316085465e+00 2.089837229652395933e+00 2.529950103436305664e+00 9.522290229797363281e-01
6.168000000000000000e+03 2.275992075240924173e+00 2.116636858451524716e+00 2.542835753400074950e+00 1.538699626922607422e+00
2.847000000000000000e+03 2.280799657853880724e+00 2.153269696094286978e+00 2.483115275183570780e+00 9.485747814178466797e-01
8.188000000000000000e+03 2.282637937219877511e+00 2.157686849283571462e+00 2.537288741638243472e+00 1.985460519790649414e+00
3.060000000000000000e+02 2.305344612759111733e+00 2.142704700582738209e+00 2.721092797611813996e+00 9.281792640686035156e-01
8.152000000000000000e+03 2.313192444338963760e+00 2.150331230164287621e+00 2.626095974488600771e+00 2.278526067733764648e+00
9.324000000000000000e+03 2.338266168963635927e+00 2.212647121336056788e+00 2.569274889451216737e+00 1.141819953918457031e+00
1.065000000000000000e+03 2.342515192247876410e+00 2.192014671317672914e+00 2.785870859006384759e+00 1.159014701843261719e+00
5.234000000000000000e+03 2.351039463537372143e+00 2.189861804840984139e+00 2.829622988513422754e+00 5.209190845489501953e-01
6.007000000000000000e+03 2.358288343548170740e+00 2.223071442664306119e+00 2.569125501409704970e+00 2.585078954696655273e+00
4.030000000000000000e+03 2.360996658012136429e+00 2.232327594539786464e+00 2.595211442510945599e+00 2.286838054656982422e+00
7.192000000000000000e+03 2.366812436406727560e+00 2.262685504001546555e+00 2.946671836402936506e+00 1.166576862335205078e+00
7.976000000000000000e+03 2.376151994986253069e+00 2.241639753072699026e+00 2.696809258145520527e+00 2.284453392028808594e+00
3.027000000000000000e+03 2.386960119119828416e+00 2.272870827882601308e+00 2.861765901677276069e+00 1.969935178756713867e+00
9.645000000000000000e+03 2.387242157033840240e+00 2.274269837548112072e+00 2.890183532726781745e+00 2.476469993591308594e+00
2.394000000000000000e+03 2.389452408621920654e+00 2.292049493704435115e+00 2.637588332689215775e+00 2.454434871673583984e+00
5.429000000000000000e+03 2.407294277864969523e+00 2.302447512133328544e+00 2.887959937755352424e+00 2.481227159500122070e+00
7.436000000000000000e+03 2.411865008893857354e+00 2.314855810631597066e+00 2.980002727595454370e+00 1.783162355422973633e+00
2.247000000000000000e+03 2.424178691057948143e+00 2.306403615410182795e+00 2.616686399879533109e+00 1.263555288314819336e+00
4.100000000000000000e+02 2.442994894336694145e+00 2.337847716407598586e+00 2.940150215532963962e+00 2.087886333465576172e+00
1.981000000000000000e+03 2.452041306976157742e+00 2.316418786659410145e+00 2.717560801858437181e+00 2.384810924530029297e+00
7.346000000000000000e+03 2.452355564870233984e+00 2.354390663873364709e+00 2.946346912803388562e+00 2.380431413650512695e+00
5.848000000000000000e+03 2.452760082936390695e+00 2.359160538096860993e+00 3.016522803517791562e+00 5.367107391357421875e-01
4.739000000000000000e+03 2.463049700158605582e+00 2.365480361843881774e+00 2.959996047567633237e+00 2.275600671768188477e+00
5.271000000000000000e+03 2.471953634831900004e+00 2.363813692183224013e+00 2.810417781787575287e+00 2.889173507690429688e+00
1.228000000000000000e+03 2.473653730688766483e+00 2.391781267927853172e+00 2.723278189902389457e+00 1.877893924713134766e+00
7.730000000000000000e+02 2.475350340369346647e+00 2.345918665204152376e+00 2.711195944977130790e+00 8.256258964538574219e-01
2.808000000000000000e+03 2.479866431750857636e+00 2.394461406678083826e+00 3.044581730088397276e+00 1.653572797775268555e+00
1.877000000000000000e+03 2.486231763960665031e+00 2.383175169158426865e+00 2.760723844330320809e+00 2.075206756591796875e+00
4.295000000000000000e+03 2.492617181834834827e+00 2.402546064984691476e+00 2.936773100204963072e+00 1.567788124084472656e+00
6.864000000000000000e+03 2.496098489544074539e+00 2.372771589479580445e+00 3.010787441491428407e+00 7.547585964202880859e-01
3.577000000000000000e+03 2.503290002139668236e+00 2.382971270501997640e+00 2.799817713063462055e+00 1.260445594787597656e+00
8.377000000000000000e+03 2.509662718695553796e+00 2.440626137631706438e+00 3.007669904047833853e+00 9.247076511383056641e-01
7.061000000000000000e+03 2.519314029051816561e+00 2.444340745733532660e+00 2.988697894131607136e+00 1.256995201110839844e+00
2.998000000000000000e+03 2.524899597771193438e+00 2.413636523836172998e+00 2.874884146903565529e+00 1.375070333480834961e+00
1.881000000000000000e+03 2.525388543958166032e+00 2.410497794675618088e+00 2.876615223792485132e+00 2.383699655532836914e+00
3.804000000000000000e+03 2.526143455372911184e+00 2.426461269189302161e+00 2.835294662952894562e+00 1.259321928024291992e+00
9.130000000000000000e+03 2.528307767952321150e+00 2.434352279618289927e+00 3.018235546614657761e+00 1.636168479919433594e+00
5.938000000000000000e+03 2.538016796839546174e+00 2.439866498547536455e+00 3.004791437003293542e+00 1.131359100341796875e+00
8.100000000000000000e+02 2.541124972160124340e+00 2.478550227870861100e+00 3.062596231674301173e+00 2.548000335693359375e+00
2.186000000000000000e+03 2.546893761270154322e+00 2.439941772842592727e+00 2.877633785738182848e+00 1.063478946685791016e+00
9.447000000000000000e+03 2.549005449368753062e+00 2.430080059816734916e+00 2.740676897133863754e+00 1.256379127502441406e+00
1.344000000000000000e+03 2.554553971316781080e+00 2.441896731753983030e+00 2.834277988918437075e+00 1.238718748092651367e+00
9.380000000000000000e+02 2.558223523604260308e+00 2.448776941449783084e+00 2.911722032332313859e+00 7.231047153472900391e-01
7.261000000000000000e+03 2.558917809013912859e+00 2.498798570645740291e+00 2.841972021548921035e+00 1.035033226013183594e+00
5.159000000000000000e+03 2.562109411945402204e+00 2.494870352386657331e+00 2.926249636237014951e+00 6.364607810974121094e-01
1.830000000000000000e+02 2.567198978359976014e+00 2.470277603071776795e+00 3.048713911581381719e+00 7.530596256256103516e-01
8.843000000000000000e+03 2.572981944254993270e+00 2.457112337006812197e+00 2.855811821919703508e+00 2.046939849853515625e+00
4.381000000000000000e+03 2.577000337944515884e+00 2.514182968774675508e+00 3.103979132610668490e+00 3.086899518966674805e+00
4.924000000000000000e+03 2.580703153702963881e+00 2.438370431146287487e+00 2.893712510437429053e+00 1.279412984848022461e+00
8.688000000000000000e+03 2.580851123405031089e+00 2.513521609723227801e+00 2.974987911255805972e+00 6.350908279418945312e-01
8.880000000000000000e+03 2.582101149959514341e+00 2.497115428480503496e+00 3.032214388265688676e+00 2.170001745223999023e+00
9.925000000000000000e+03 2.582220563148821757e+00 2.471826767901899480e+00 2.900330671923626813e+00 1.362006187438964844e+00
6.783000000000000000e+03 2.590290113897546043e+00 2.535173472115083371e+00 3.124626126861338449e+00 1.129053354263305664e+00
7.579000000000000000e+03 2.593481807702799902e+00 2.527256621072573761e+00 2.905495317877476502e+00 4.203124046325683594e-01
7.663000000000000000e+03 2.595015367816175811e+00 2.489943527300604309e+00 2.840684984099214105e+00 2.172862052917480469e+00
2.775000000000000000e+03 2.596351590854568236e+00 2.490570217168135869e+00 2.860857051075823332e+00 9.456465244293212891e-01
5.919000000000000000e+03 2.599726237166567699e+00 2.484696868029264039e+00 2.928240628554669822e+00 1.672026872634887695e+00
4.789000000000000000e+03 2.605626826534755747e+00 2.507064685568098472e+00 3.218246588080611481e+00 1.269435167312622070e+00
3.745000000000000000e+03 2.606121320057097623e+00 2.605850589409286933e+00 3.034624834608352639e+00 4.310722351074218750e-01
4.044000000000000000e+03 2.607933601947676205e+00 2.516683770243886009e+00 3.126434029557617844e+00 1.555714845657348633e+00
