# seed  training_mse  validation_mse  training_time(s)
9.200000000000000000e+01 2.488493804194090053e+00 2.782217063484756725e+00 1.017456603050231934e+01
3.300000000000000000e+01 2.609515730024476454e+00 2.956852414212963520e+00 1.107046961784362793e+01
5.400000000000000000e+01 2.725295254641743270e+00 3.038592499123317303e+00 1.065091633796691895e+01
2.200000000000000000e+01 3.024746226535013793e+00 3.339492771310245356e+00 1.543041467666625977e+01
4.100000000000000000e+01 3.104125569819987440e+00 3.430234941515236446e+00 1.271304154396057129e+01
9.000000000000000000e+01 3.157484260539614951e+00 3.479215453514470813e+00 1.957956647872924805e+01
1.060000000000000000e+02 3.621502383116951052e+00 3.921134398581359815e+00 1.150606727600097656e+01
1.300000000000000000e+01 4.631630139058650286e+00 4.852975693777912269e+00 1.232103300094604492e+01
4.300000000000000000e+01 5.537945654268645157e+00 5.731009365244537079e+00 1.487757873535156250e+01
7.500000000000000000e+01 5.537945654268645157e+00 5.731009365244537079e+00 1.703559494018554688e+01
2.600000000000000000e+01 5.537945654268645157e+00 5.731009365244537079e+00 1.178205204010009766e+01
2.800000000000000000e+01 5.537945654268645157e+00 5.731009365244537079e+00 1.079196453094482422e+01
