,SCHOOL_YEAR,DIV_NAME,SCH_NAME,GENDER,FEDERAL_RACE_CODE,DISABILITY_FLAG,DISADVANTAGED_FLAG,LEP_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
2280,2008-2009,Accomack County,Arcadia High,F,3.0,N,N,N,16,87.5,12.5
2282,2008-2009,Accomack County,Arcadia High,F,3.0,N,Y,N,33,78.78787878787878,21.21212121212121
2284,2008-2009,Accomack County,Arcadia High,F,3.0,Y,N,N,3,33.333333333333336,33.333333333333336
2286,2008-2009,Accomack County,Arcadia High,F,3.0,Y,Y,N,1,100.0,0.0
2296,2008-2009,Accomack County,Arcadia High,F,5.0,N,N,N,25,88.0,12.0
2298,2008-2009,Accomack County,Arcadia High,F,5.0,N,Y,N,10,60.0,30.0
2300,2008-2009,Accomack County,Arcadia High,F,5.0,Y,N,N,3,66.66666666666667,0.0
2302,2008-2009,Accomack County,Arcadia High,F,5.0,Y,Y,N,1,100.0,0.0
2336,2008-2009,Accomack County,Arcadia High,M,3.0,N,N,N,24,58.333333333333336,29.166666666666668
2338,2008-2009,Accomack County,Arcadia High,M,3.0,N,Y,N,29,44.827586206896555,51.724137931034484
2340,2008-2009,Accomack County,Arcadia High,M,3.0,Y,N,N,2,0.0,100.0
2342,2008-2009,Accomack County,Arcadia High,M,3.0,Y,Y,N,9,44.44444444444444,55.55555555555556
2352,2008-2009,Accomack County,Arcadia High,M,5.0,N,N,N,18,66.66666666666667,27.77777777777778
2354,2008-2009,Accomack County,Arcadia High,M,5.0,N,Y,N,8,62.5,12.5
2356,2008-2009,Accomack County,Arcadia High,M,5.0,Y,N,N,1,100.0,0.0
2394,2008-2009,Accomack County,Chincoteague High,F,3.0,N,Y,N,2,100.0,0.0
2408,2008-2009,Accomack County,Chincoteague High,F,5.0,N,N,N,15,86.66666666666667,6.666666666666667
2410,2008-2009,Accomack County,Chincoteague High,F,5.0,N,Y,N,1,100.0,0.0
2448,2008-2009,Accomack County,Chincoteague High,M,3.0,N,N,N,2,100.0,0.0
2450,2008-2009,Accomack County,Chincoteague High,M,3.0,N,Y,N,1,100.0,0.0
2464,2008-2009,Accomack County,Chincoteague High,M,5.0,N,N,N,24,87.5,4.166666666666667
2466,2008-2009,Accomack County,Chincoteague High,M,5.0,N,Y,N,4,75.0,0.0
2468,2008-2009,Accomack County,Chincoteague High,M,5.0,Y,N,N,1,0.0,100.0
2470,2008-2009,Accomack County,Chincoteague High,M,5.0,Y,Y,N,1,100.0,0.0
2504,2008-2009,Accomack County,Nandua High,F,3.0,N,N,N,9,77.77777777777777,0.0
2505,2008-2009,Accomack County,Nandua High,F,3.0,N,N,Y,1,100.0,0.0
2506,2008-2009,Accomack County,Nandua High,F,3.0,N,Y,N,28,71.42857142857143,21.428571428571427
2508,2008-2009,Accomack County,Nandua High,F,3.0,Y,N,N,3,33.333333333333336,66.66666666666667
2510,2008-2009,Accomack County,Nandua High,F,3.0,Y,Y,N,4,100.0,0.0
2520,2008-2009,Accomack County,Nandua High,F,5.0,N,N,N,36,94.44444444444444,2.7777777777777777
2522,2008-2009,Accomack County,Nandua High,F,5.0,N,Y,N,17,70.58823529411765,23.529411764705884
