,SCHOOL_YEAR,DIV_NAME,SCH_NAME,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
2262,2018-2019,Accomack County,Arcadia High,3.0,F,N,N,N,5,100.0,0.0
2264,2018-2019,Accomack County,Nandua High,3.0,F,N,N,N,2,100.0,0.0
2265,2018-2019,Accomack County,Arcadia High,4.0,F,N,N,N,1,0.0,100.0
2266,2018-2019,Accomack County,Chincoteague High,4.0,F,N,N,N,1,100.0,0.0
2267,2018-2019,Accomack County,Nandua High,4.0,F,N,N,N,3,100.0,0.0
2268,2018-2019,Accomack County,Arcadia High,5.0,F,N,N,N,12,100.0,0.0
2269,2018-2019,Accomack County,Chincoteague High,5.0,F,N,N,N,13,100.0,0.0
2270,2018-2019,Accomack County,Nandua High,5.0,F,N,N,N,28,100.0,0.0
2283,2018-2019,Accomack County,Arcadia High,3.0,M,N,N,N,8,100.0,0.0
2284,2018-2019,Accomack County,Chincoteague High,3.0,M,N,N,N,1,100.0,0.0
2285,2018-2019,Accomack County,Nandua High,3.0,M,N,N,N,8,87.5,12.5
2288,2018-2019,Accomack County,Nandua High,4.0,M,N,N,N,4,100.0,0.0
2289,2018-2019,Accomack County,Arcadia High,5.0,M,N,N,N,10,100.0,0.0
2290,2018-2019,Accomack County,Chincoteague High,5.0,M,N,N,N,12,100.0,0.0
2291,2018-2019,Accomack County,Nandua High,5.0,M,N,N,N,35,97.14285714285714,2.857142857142857
2310,2018-2019,Accomack County,Arcadia High,5.0,F,Y,N,N,2,100.0,0.0
2311,2018-2019,Accomack County,Chincoteague High,5.0,F,Y,N,N,1,100.0,0.0
2312,2018-2019,Accomack County,Nandua High,5.0,F,Y,N,N,4,100.0,0.0
2325,2018-2019,Accomack County,Arcadia High,3.0,M,Y,N,N,1,100.0,0.0
2326,2018-2019,Accomack County,Chincoteague High,3.0,M,Y,N,N,1,100.0,0.0
